eventID,datetime,lat,lon,depth_km,mag,location,mag_type,event_type
61200192,2015-02-10 16:09:00+00:00,13.99,120.44,109.0,5.0,022 km S 65° W of Nasugbu (Batangas),Ms,TECTONIC
61200222,2015-02-25 01:31:00+00:00,6.11,119.78,17.0,5.5,091 km S 76° W of Pangutaran (Sulu),Mw,TECTONIC
61200242,2015-03-01 07:01:00+00:00,4.54,125.85,37.0,4.7,107 km S 23° E of Sarangani (Davao Occidental),Ms,TECTONIC
61200251,2015-03-02 21:51:00+00:00,9.8,126.32,16.0,4.5,018 km N 83° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61200271,2015-03-07 16:38:00+00:00,5.26,125.92,81.0,4.7,053 km S 68° E of Sarangani (Davao Occidental),Ms,TECTONIC
61200273,2015-03-07 22:53:00+00:00,13.16,124.12,10.0,4.7,046 km N 85° E of Legaspi City,Ms,TECTONIC
61200298,2015-03-14 14:37:00+00:00,16.95,119.96,64.0,4.6,048 km S 77° W of Luna (La Union),Ms,TECTONIC
61200300,2015-03-14 18:39:00+00:00,3.57,126.75,2.0,4.8,250 km S 35° E of Sarangani (Davao Ocidental),Ms,TECTONIC
61200346,2015-03-26 16:46:00+00:00,5.82,126.62,60.0,4.9,110 km S 33° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61200352,2015-03-30 01:47:00+00:00,10.04,124.21,7.0,4.9,012 km S 66° E of Buenavista (Bohol),Ms,TECTONIC
61200360,2015-04-01 04:04:00+00:00,18.78,120.82,11.0,4.5,022 km N 9° E of Pagudpud (Ilocos Norte),Ms,TECTONIC
61200489,2015-05-02 09:02:00+00:00,6.18,124.32,12.0,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61200537,2015-05-13 15:55:00+00:00,13.23,124.29,16.0,5.1,018 km N 76° E of Rapu-Rapu (Albay),Ms,TECTONIC
61200538,2015-05-13 17:00:00+00:00,13.01,124.22,6.0,4.7,021 km S 25° E of Rapu-Rapu (Albay),Ms,TECTONIC
61200567,2015-05-22 10:59:00+00:00,11.49,124.36,10.0,4.7,009 km S 25° W of Naval (Biliran),Ms,TECTONIC
61200596,2015-05-30 01:40:00+00:00,7.24,123.93,631.0,4.9,036 km N 46° W of Upi (Maguindanao),Ms,TECTONIC
61200663,2015-06-15 21:04:00+00:00,4.27,125.87,130.0,5.8,136 km S 19° E of Sarangani (Davao Occidental),Mw,TECTONIC
61200718,2015-07-03 06:43:00+00:00,10.31,126.38,26.0,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61200731,2015-07-05 12:56:00+00:00,17.94,120.76,5.0,5.3,024 km S 60° E of Batac (Ilocos Norte),Ms,TECTONIC
61200747,2015-07-08 12:01:00+00:00,9.92,126.27,18.0,5.0,023 km S 63° E of Burgos (Surigao del Norte),Ms,TECTONIC
61200785,2015-07-16 01:44:00+00:00,7.05,122.77,29.0,4.5,031 km S 19° W of Olutanga (Zamboanga Sibugay),Ms,TECTONIC
61200788,2015-07-16 20:53:00+00:00,9.12,127.08,1.0,5.1,096 km N 88° E of Tandag ( Surigao del Sur),Ms,TECTONIC
61200796,2015-07-17 14:20:00+00:00,9.13,126.97,29.0,5.0,086 km N 87° E of Tandag ( Surigao del Sur),Ms,TECTONIC
61200798,2015-07-17 17:47:00+00:00,9.11,126.91,9.0,4.7,079 km N 88° E of Tandag ( Surigao del Sur),Ms,TECTONIC
61200804,2015-07-18 15:46:00+00:00,18.86,120.92,18.0,5.3,033 km N 31° W of Claveria (Cagayan),Ms,TECTONIC
61200833,2015-07-25 08:41:00+00:00,13.01,124.81,16.0,5.2,060 km N 18° E of Catarman (Northern Samar),Ms,TECTONIC
61200852,2015-07-28 18:51:00+00:00,4.79,123.25,598.0,4.8,190 km S 34° W of Palimbang (Sultan Kudarat),Ms,TECTONIC
61200876,2015-08-01 15:17:00+00:00,7.61,125.44,8.0,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61200885,2015-08-02 13:08:00+00:00,7.96,123.59,607.0,5.0,002 km N 13° E of Aurora (Zamboanga Del Sur),Ms,TECTONIC
61200907,2015-08-09 04:49:00+00:00,13.42,120.14,24.0,5.0,036 km N 90° W of Paluan (Occidental Mindoro),Ms,TECTONIC
61200925,2015-08-12 22:21:00+00:00,20.96,122.1,188.0,4.7,033 km N 58° E of Itbayat (Batanes),Ms,TECTONIC
61200968,2015-08-21 20:17:00+00:00,21.01,121.09,33.0,4.8,082 km N 73° W of Itbayat (Batanes),Ms,TECTONIC
61201046,2015-09-02 01:18:00+00:00,4.23,124.75,312.0,6.1,155 km S 31° W of Sarangani (Davao Occidental),Mw,TECTONIC
61201126,2015-09-17 08:34:00+00:00,5.37,126.12,8.0,5.0,072 km S 84° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201136,2015-09-19 00:48:00+00:00,3.37,126.73,15.0,4.9,268 km S 31° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201181,2015-09-26 17:23:00+00:00,5.14,124.15,480.0,5.0,107 km S 29° W of Kiamba (Sarangani),Ms,TECTONIC
61201220,2015-10-07 14:37:00+00:00,12.33,123.73,11.0,4.7,015 km S 79° E of Masbate (Masbate),Ms,TECTONIC
61201251,2015-10-15 20:37:00+00:00,5.46,127.4,127.0,4.7,197 km S 48° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61201266,2015-10-19 13:50:00+00:00,13.85,120.38,104.0,5.8,020 km N 45° E of Looc (Occidental Mindoro),Mw,TECTONIC
61201278,2015-10-22 06:02:00+00:00,3.46,124.62,4.0,4.7,238 km S 23° W of Sarangani (Davao Occidental),Ms,TECTONIC
61201313,2015-10-27 02:32:00+00:00,6.18,125.62,64.0,4.9,008 km S 75° W  of Don Marcelino (Davao Occidental),Ms,TECTONIC
61201327,2015-10-30 06:58:00+00:00,12.58,125.9,84.0,4.9,062 km N 44° E of San Policarpo (Eastern Samar),Ms,TECTONIC
61201365,2015-11-06 17:33:00+00:00,7.18,125.52,14.0,4.7,016 km N 36° W of Davao City (Davao Del Sur),Ms,TECTONIC
61201369,2015-11-07 12:29:00+00:00,5.16,125.61,126.0,5.2,034 km S 27° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201371,2015-11-07 19:40:00+00:00,16.57,119.41,26.0,5.7,055 km N 69° W of Bolinao (Pangasinan),Mw,TECTONIC
61201398,2015-11-15 04:16:00+00:00,5.13,127.54,101.0,4.7,228 km S 68° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61201426,2015-11-20 02:07:00+00:00,3.69,125.55,71.0,4.5,193km S 03° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201447,2015-11-25 11:23:00+00:00,4.34,125.78,120.0,5.0,125 km S 16° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201518,2015-12-10 10:00:00+00:00,6.41,126.23,26.0,4.6,032 km S 34° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61201556,2015-12-17 12:44:00+00:00,17.74,120.53,47.0,5.2,008 km S 86° E of Lapog (San Juan) (Ilocos Sur),Ms,TECTONIC
61201559,2015-12-18 03:39:00+00:00,4.27,125.87,123.0,4.6,136 km S 19° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201563,2015-12-19 09:38:00+00:00,18.48,119.55,92.0,4.6,110 km N 63° W of Currimao (Ilocos Norte),Ms,TECTONIC
61201569,2015-12-20 09:28:00+00:00,13.1,124.49,108.0,5.3,033 km N 81° E of Prieto Diaz (Sorsogon),Ms,TECTONIC
61201608,2015-12-25 21:41:00+00:00,5.64,125.9,31.0,4.7,053 km N 64° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201619,2015-12-26 22:11:00+00:00,10.09,126.31,60.0,5.2,030 km N 56° E of San Isidro (Surigao Del Norte),Ms,TECTONIC
61201623,2015-12-27 10:13:00+00:00,6.43,125.48,25.0,4.5,049 km N 45° E of General Santos City,Ms,TECTONIC
61201628,2015-12-27 22:17:00+00:00,4.36,125.96,95.0,4.8,131 km S 24° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201629,2015-12-28 01:31:00+00:00,6.34,125.98,6.0,4.6,036 km N 63° E of Don Marcelino (Davao Occidental),Ms,TECTONIC
61201637,2015-12-31 00:53:00+00:00,21.11,121.87,120.0,4.6,035 km N 03° E of Ibayat (Batanes),Ms,TECTONIC
61201661,2016-01-04 14:36:16+00:00,19.11,121.14,15.0,5.0,039 km S 62° W of Calayan (Cagayan),Ms,TECTONIC
61201664,2016-01-04 17:20:02+00:00,21.17,121.23,14.0,4.6,075 km N 55° W of Itbayat (Batanes),Ms,TECTONIC
61201679,2016-01-05 20:36:16+00:00,10.15,126.37,12.0,5.2,035 km N 66° E of Burgos (Surigao del Norte),Ms,TECTONIC
61201703,2016-01-10 12:45:13+00:00,4.37,127.39,158.0,4.8,258 km S 50° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61201707,2016-01-11 16:37:59+00:00,3.33,127.36,29.0,6.4,313 km S 42° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201708,2016-01-11 17:01:22+00:00,3.46,126.89,25.0,4.8,269 km S 36° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201709,2016-01-11 19:14:41+00:00,3.59,127.47,10.0,4.7,301 km S 47° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201711,2016-01-11 21:20:31+00:00,2.99,126.61,32.0,4.6,280 km S 26° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201714,2016-01-12 12:27:18+00:00,3.15,126.94,19.0,4.8,292 km S 33° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201719,2016-01-13 07:52:29+00:00,12.22,125.9,69.0,4.8,043 km N 84° E of San Policarpo (Eastern Samar),Ms,TECTONIC
61201727,2016-01-14 05:55:35+00:00,5.51,126.14,56.0,4.5,072 km S 54° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61201729,2016-01-14 13:14:48+00:00,9.52,126.36,11.0,5.5,037 km S 37° E of General Luna (Surigao del Norte),Ms,TECTONIC
61201781,2016-01-21 20:23:00+00:00,3.68,126.96,83.0,4.9,255 km S 40° E of Sarangani (Davao Occidental),mb,TECTONIC
61201803,2016-01-25 09:17:50+00:00,3.52,128.5,46.0,5.0,397 km S 58° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201818,2016-01-29 02:29:17+00:00,19.31,121.17,89.0,5.0,079 km N 07° E of Claveria (Cagayan),Ms,TECTONIC
61201855,2016-02-03 16:05:09+00:00,6.24,125.5,60.0,4.7,021 km N 79° W of Don Marcelino (Davao Occidental),Ms,TECTONIC
61201856,2016-02-03 21:01:09+00:00,19.32,121.2,8.0,4.5,027 km N 82° W of Calayan (Cagayan),Ms,TECTONIC
61201863,2016-02-04 22:41:32+00:00,13.66,122.38,11.0,5.0,014 km S 47° W of Buenavista (Quezon),Ms,TECTONIC
61201868,2016-02-05 05:00:45+00:00,13.79,122.29,10.0,5.2,011 km S 16° E of Lopez (Quezon),Ms,TECTONIC
61201897,2016-02-08 15:25:11+00:00,5.78,126.66,72.0,4.7,116 km S 84° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61201930,2016-02-13 00:59:20+00:00,6.76,123.84,583.0,4.6,028 km N 63° W of Lebak (Sultan Kudarat),Ms,TECTONIC
61201936,2016-02-13 20:14:33+00:00,10.55,125.24,211.0,4.7,009 km N 75°E of Silago (Southern Leyte),Ms,TECTONIC
61201957,2016-02-17 07:32:05+00:00,4.76,128.24,87.0,4.8,315 km S 76° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201958,2016-02-17 15:48:11+00:00,6.98,127.07,12.0,4.8,064 km S 67° E of Manay (Davao Oriental),Ms,TECTONIC
61201973,2016-02-18 16:38:56+00:00,6.56,126.97,53.0,4.5,079 km S 47° E of Tarragona (Davao Oriental),Ms,TECTONIC
61201974,2016-02-18 17:49:20+00:00,12.49,123.57,7.0,4.8,016 km N 08° W of Masbate (Masbate),Ms,TECTONIC
61201975,2016-02-18 20:50:03+00:00,13.08,125.05,52.0,4.6,056 km N 04° E of Laoang (Northern Samar),Ms,TECTONIC
61201979,2016-02-19 17:20:30+00:00,12.56,125.85,55.0,4.6,072 km N 50° E of San Policarpo (Eastern Samar),Ms,TECTONIC
61202022,2016-02-26 19:51:02+00:00,7.19,126.66,47.0,4.7,014 km S 81°E of Manay (Davao Oriental),Ms,TECTONIC
61202023,2016-02-27 03:31:07+00:00,3.47,124.76,252.0,4.5,231 km S 20°W of Sarangani (Davao Occidental),Ms,TECTONIC
61202031,2016-02-28 09:06:26+00:00,5.18,125.34,188.0,5.6,031 km S 27°W of Sarangani (Davao Occidental),Ms,TECTONIC
61202067,2016-03-03 16:23:02+00:00,3.59,126.19,96.0,5.1,219 km S 21°E of Sarangani (Davao Occidental),Ms,TECTONIC
61202068,2016-03-04 03:59:41+00:00,3.94,125.98,6.0,4.7,178 km S 20°E of Sarangani (Davao Occidental),Ms,TECTONIC
61202081,2016-03-05 15:43:04+00:00,14.96,122.7,38.0,4.6,044 km N 53°E of Jomalig (Quezon),Ms,TECTONIC
61202104,2016-03-08 19:42:33+00:00,6.61,125.67,171.0,4.5,023 km N 16° E of Malita (Davao Occidental),Ms,TECTONIC
61202127,2016-03-12 04:00:29+00:00,18.19,126.13,41.0,5.5,049 km N 88° W of Laoag City,Ms,TECTONIC
61202132,2016-03-13 05:51:20+00:00,14.67,123.14,34.0,4.7,057 km N 42° E of Paracale (Camarines Norte),Ms,TECTONIC
61202157,2016-03-16 12:04:51+00:00,4.52,125.06,40.0,5.0,111 km S 24° W of Sarangani (Davao Occidental),Ms,TECTONIC
61202158,2016-03-16 13:09:52+00:00,4.69,124.98,44.0,5.6,099 km S 33° W of Sarangani (Davao Occidental),Ms,TECTONIC
61202163,2016-03-16 22:46:35+00:00,15.2,119.98,23.0,4.8,015 km S 02° E of Iba (Zambales),Ms,TECTONIC
61202189,2016-03-19 19:43:45+00:00,14.58,123.52,30.0,4.5,078 km N 14° W of Garchitorena (Camarines Sur),Ms,TECTONIC
61202202,2016-03-20 18:26:46+00:00,10.01,125.96,34.0,4.6,016 km N 02° W of Del Carmen (Surigao Del Norte),Ms,TECTONIC
61202298,2016-04-03 19:09:26+00:00,15.31,122.63,16.0,4.8,072 km N 23° E of Jomalig (Quezon),Ms,TECTONIC
61202306,2016-04-05 08:29:02+00:00,3.01,128.3,81.0,5.9,413 km S 49° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202308,2016-04-05 11:00:22+00:00,3.76,126.65,42.0,4.8,227 km S 35° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202310,2016-04-05 16:21:00+00:00,20.12,122.38,25.0,4.8,052 km S 61° E of Uyugan (Batanes),Ms,TECTONIC
61202316,2016-04-06 22:19:12+00:00,3.0,125.79,127.0,4.7,272 km S 07° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202353,2016-04-13 18:21:52+00:00,7.83,121.96,27.0,6.0,020 km N 83° W of Baliguian (Zamboanga Del Norte),Ms,TECTONIC
61202381,2016-04-19 17:17:37+00:00,7.97,126.45,63.0,5.0,020 km N 01° W of Cateel (Davao Oriental),Ms,TECTONIC
61202390,2016-04-20 16:03:23+00:00,5.16,126.79,69.0,4.8,150 km S 78° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202425,2016-04-25 18:13:15+00:00,20.9,121.19,5.0,5.3,069km N 80° W of Itbayat (Batanes),Ms,TECTONIC
61202434,2016-04-26 16:12:28+00:00,3.49,127.31,89.0,4.5,296km S 43° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202444,2016-04-27 14:53:47+00:00,20.65,121.01,66.0,4.6,088km S 80° W of Itbayat (Batanes),Ms,TECTONIC
61202517,2016-05-05 08:21:42+00:00,20.07,121.81,5.0,4.5,034km S 15° W of Sabtang (Batanes),Ms,TECTONIC
61202573,2016-05-12 10:03:27+00:00,4.93,126.81,36.0,4.9,155km S 57° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202577,2016-05-13 00:07:15+00:00,12.03,124.88,16.0,4.7,032km N 02° E of Catbalogan (Samar),Ms,TECTONIC
61202580,2016-05-13 10:03:17+00:00,5.15,127.42,127.0,4.8,215km S 68° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61202609,2016-05-17 13:58:18+00:00,5.85,126.02,112.0,4.7,045km S 85° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61202669,2016-05-23 23:57:32+00:00,17.41,120.42,49.0,4.9,007 km N 53° W of Santa Maria (Ilocos Sur),Ms,TECTONIC
61202685,2016-05-25 19:10:16+00:00,8.76,126.57,25.0,4.8,030 km S 80° E of Marihatag (Surigao del Sur),Ms,TECTONIC
61202731,2016-05-31 11:32:14+00:00,9.46,126.16,30.0,4.9,024 km N 57° E of Cantilan (Surigao Del Sur),Ms,TECTONIC
61202733,2016-05-31 16:29:46+00:00,13.09,120.46,29.0,4.8,026 km S 44° W of Mamburao (Occidental Mindoro),Ms,TECTONIC
61202756,2016-06-03 11:50:18+00:00,20.4,120.45,43.0,5.1,152 km S 73° W of Itbayat (Batanes),Ms,TECTONIC
61202801,2016-06-09 19:54:33+00:00,16.47,120.95,5.0,5.2,007 km S 48° W of Ambaguio (Nueva Vizcaya),Ms,TECTONIC
61202817,2016-06-10 18:52:04+00:00,16.46,120.93,4.0,4.9,009 km S 55° W of Ambaguio (Nueva Vizcaya),Ms,TECTONIC
61202840,2016-06-12 22:55:34+00:00,11.13,126.58,29.0,4.7,095 km N 84° E of Guiuan (Eastern Samar),Ms,TECTONIC
61202848,2016-06-13 17:59:01+00:00,4.47,127.97,78.0,4.6,297 km S 69° E of Sarangani (Davao Occidental),Ms,TECTONIC
61202890,2016-06-19 18:20:54+00:00,19.91,121.32,21.0,5.6,075 km S 51° W of Sabtang (Batanes),Ms,TECTONIC
61202932,2016-06-25 06:40:26+00:00,6.45,126.25,41.0,5.0,029 km S 41° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61202953,2016-06-27 22:43:58+00:00,9.7,126.47,14.0,4.5,035 km S 75° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61203018,2016-07-06 21:00:48+00:00,6.74,126.25,54.0,4.9,021 km N 62° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61203029,2016-07-08 23:16:50+00:00,8.49,125.69,57.0,5.3,009 km N 80° W of Talacogon (Agusan Del Sur),Ms,TECTONIC
61203042,2016-07-10 05:37:39+00:00,8.47,125.8,60.0,4.7,003km N 39° E of Talacogon (Agusan Del Sur),Ms,TECTONIC
61203126,2016-07-19 15:01:08+00:00,19.23,121.21,20.0,4.8,071km N 11° E of Claveria (Cagayan),Ms,TECTONIC
61203172,2016-07-24 01:45:09+00:00,20.65,121.11,9.0,4.7,079 km S 78° W of Itbayat (Batanes),Ms,TECTONIC
61203173,2016-07-24 04:22:16+00:00,11.95,121.55,21.0,4.5,002 km N of Caluya (Antique),Ms,TECTONIC
61203195,2016-07-25 15:05:33+00:00,7.55,121.79,43.0,4.8,041 km S 65° W of Siocon (Zamboanga Del Norte),Ms,TECTONIC
61203204,2016-07-26 14:29:07+00:00,9.63,125.47,9.0,5.2,007 km S 61° W of Sison (Surigao Del Norte),Ms,TECTONIC
61203209,2016-07-27 11:56:10+00:00,11.0,124.62,5.0,5.2,002 km N 79° E of Ormoc City (Leyte),Ms,TECTONIC
61203316,2016-08-06 09:08:22+00:00,6.18,125.29,72.0,5.4,015 km N 62° E of General Santos City,Ms,TECTONIC
61203357,2016-08-09 10:56:57+00:00,10.01,123.12,13.0,4.5,009 km N 69° W of Jimalalud (Negros Oriental),Ms,TECTONIC
61203379,2016-08-09 10:56:57+00:00,5.31,125.62,139.0,5.4,022 km S 51° E of Sarangani (Davao Occidental),Ms,TECTONIC
61203383,2016-08-09 10:56:57+00:00,5.53,125.3,51.0,5.3,022 km N 59° W of Sarangani (Davao Occidental),Ms,TECTONIC
61203389,2016-08-13 14:04:59+00:00,11.59,124.34,5.0,5.0,007 km N 62° W of Naval (Biliran),Ms,TECTONIC
61203399,2016-08-15 05:28:12+00:00,5.72,126.21,97.0,4.7,068 km S 75° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61203400,2016-08-15 11:32:01+00:00,10.93,122.12,29.0,5.3,008 km S 09° W of Valderrama (Antique),Ms,TECTONIC
61203421,2016-08-16 17:38:06+00:00,14.97,122.05,34.0,4.5,016 km N 35° E of Burdeos (Quezon),Ms,TECTONIC
61203495,2016-08-26 15:53:20+00:00,10.13,126.12,35.0,4.8,013km N 23° E of Burgos (Surigao Del Norte),Ms,TECTONIC
61203570,2016-09-02 08:39:15+00:00,6.4,123.77,1.0,5.0,037km S 59° W of Kalamansig (Sultan Kudarat),Ms,TECTONIC
61203573,2016-09-02 12:02:48+00:00,6.43,123.81,1.0,4.7,031km S 58° W of Kalamansig (Sultan Kudarat),Ms,TECTONIC
61203591,2016-09-04 02:38:11+00:00,8.33,125.87,6.0,6.0,016km S 35° E of Talacogon (Agusan del Sur),Ms,TECTONIC
61203598,2016-09-04 07:54:40+00:00,8.36,125.91,17.0,4.6,017km S 54° E of Talacogon (Agusan del Sur),Ms,TECTONIC
61203669,2016-09-07 04:54:22+00:00,8.32,125.97,8.0,4.8,024km S 55° E of Talacogon (Agusan Del Sur),Ms,TECTONIC
61203725,2016-09-10 16:29:03+00:00,5.3,127.02,50.0,5.4,169km S 68° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61203790,2016-09-16 07:50:50+00:00,5.84,125.72,179.0,5.3,012 km S 68° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61203817,2016-09-18 01:25:48+00:00,9.15,125.91,10.0,4.5,015km S 51° W of Carmen (Surigao Del Sur),Ms,TECTONIC
61203883,2016-09-23 22:53:08+00:00,6.59,126.5,38.0,6.5,051km S 38° E of Mati (Davao Oriental),Ms,TECTONIC
61203884,2016-09-23 23:45:36+00:00,6.62,126.46,36.0,4.9,046km S 36° E of Mati (Davao Oriental),Ms,TECTONIC
61204052,2016-10-01 22:22:39+00:00,9.72,125.34,6.0,4.6,013 km N 31° W of Malimono (Surigao Del Norte),Ms,TECTONIC
61204063,2016-10-02 13:40:08+00:00,16.49,119.71,25.0,5.5,022 km N 61° W of Bolinao (Pangasinan),Ms,TECTONIC
61204104,2016-10-06 02:25:10+00:00,9.32,126.22,25.0,4.5,006 km N 32° E of Cortes (Surigao Del Sur),Ms,TECTONIC
61204113,2016-10-06 19:09:47+00:00,12.25,125.09,41.0,4.5,025 km N 63 E of Matuguinao (Samar),Ms,TECTONIC
61204155,2016-10-09 15:04:51+00:00,14.9,119.37,20.0,4.6,078 km S 86° W of San Antonio (Zambales),Ms,TECTONIC
61204161,2016-10-10 09:52:23+00:00,5.64,126.87,12.0,4.6,141 km S 79° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61204179,2016-10-12 01:39:24+00:00,13.52,120.67,107.0,4.5,011 km N 39° W of Abra de Ilog (Occidental Mindoro),Ms,TECTONIC
61204207,2016-10-13 20:18:44+00:00,4.42,126.39,20.0,5.0,151 km S 42° E of Sarangani (Davao Occidental),Ms,TECTONIC
61204214,2016-10-14 18:29:04+00:00,9.06,125.4,26.0,5.0,011 km N 40° E of Nasipit (Agusan Del Norte),Ms,TECTONIC
61204247,2016-10-17 21:45:04+00:00,9.97,126.21,23.0,4.5,022 km N 88° E of San Benito (Surigao Del Norte),Ms,TECTONIC
61204425,2016-11-03 15:21:07+00:00,5.88,126.17,10.0,5.3,063km S 56° E of Don Marcelino (Davao Occidental),Ms,TECTONIC
61204449,2016-11-05 05:40:53+00:00,9.75,126.71,11.0,4.6,061km S 86° E of General Luna (Surigao Del Norte),Ms,TECTONIC
61204502,2016-11-10 07:10:59+00:00,14.83,121.4,11.0,5.0,025km N 71° W of General Nakar (Quezon),Ms,TECTONIC
61204544,2016-11-13 23:56:41+00:00,13.78,120.46,104.0,4.5,020 km S 72° W of Calatagan (Batangas),Ms,TECTONIC
61204593,2016-11-17 00:58:08+00:00,8.92,126.6,42.0,4.8,033 km S 89° E of Cagwait (Surigao Del Sur),Ms,TECTONIC
61204616,2016-11-19 17:36:25+00:00,3.61,125.9,108.0,4.7,207 km S 13° E of Sarangani (Davao Occidental),Ms,TECTONIC
61204618,2016-11-19 19:31:03+00:00,5.46,127.95,37.0,4.7,246 km S 58° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61204620,2016-11-19 23:01:14+00:00,3.72,123.08,546.0,4.7,314 km S 40° W of Kalingalan Caluang (Sulu),Ms,TECTONIC
61204631,2016-11-21 08:11:46+00:00,10.32,125.13,1.0,4.9,011 km S 42° W of Hinunangan (Southern Leyte),Ms,TECTONIC
61204681,2016-11-25 07:48:24+00:00,13.34,120.37,7.0,4.5,028 km N 63° W of Mamburao (Occidental Mindoro),Ms,TECTONIC
61204777,2016-12-04 05:24:07+00:00,4.71,127.8,144.0,5.3,271 km S 73° E of Sarangani (Davao Occidental),Ms,TECTONIC
61204866,2016-12-13 06:04:59+00:00,6.34,126.8,107.0,4.7,087 km S 67° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61204879,2016-12-13 21:39:26+00:00,12.35,125.54,4.0,4.5,019 km N 10° E of San Policarpo (Eastern Samar),Ms,TECTONIC
61204890,2016-12-15 01:06:22+00:00,10.26,126.23,32.0,5.0,031 km N 33°E of Burgos (Surigao Del Norte),Ms,TECTONIC
